,Hs_Spec,Tm_Spec,Tp_Spec,Dir_Spec,Spr_Spec
1979-01-01 09:00:00,1.4889188080039524,4.725803196936052,5.017375547110944,341.88336950304813,36.029659062121695
1979-02-03 12:00:00,2.392459056879216,12.417261930131813,18.085142450449506,291.0720203442742,16.541755936898706
1979-03-08 15:00:00,3.065268707878617,11.80688979916287,13.131415112394095,306.2798328739804,10.306876170824532
1979-04-08 14:00:00,1.3703817549086756,7.97968317218628,9.479423053049448,310.7506508806704,12.754024350989969
1979-05-03 14:00:00,2.1368059487806437,9.038049446940612,9.520647957331429,307.4030242326605,18.989316512605765
1979-05-28 14:00:00,1.1778864709938757,7.656111418500888,8.993830008483775,291.90156179829967,10.412319625920299
1979-06-22 14:00:00,0.9284191579227475,6.015371419100843,4.866997972321413,311.29041604657766,28.72663300047113
1979-07-17 14:00:00,0.7805903712641022,5.42896703621643,8.081302625195567,318.3706231688446,33.39879264722563
1979-08-11 14:00:00,1.468631108696563,8.274491209140264,8.774217909196999,300.367719536481,15.526873181040562
1979-09-05 14:00:00,0.8814024612464988,6.193494554568805,8.08229700225951,329.3250611484399,37.23626605098321
1979-09-30 14:00:00,0.7502941220009826,9.69809448611375,9.866523493738091,301.11062807195225,11.545596161276446
1979-11-02 15:00:00,3.0335331741761276,12.129065195330595,13.52092208697268,308.19464907051633,10.786016610579543
1979-12-06 09:00:00,2.3339867581108433,11.46861737389902,12.016311231386084,298.4273547227293,16.742717303334437
1980-01-08 12:00:00,3.448295493284761,14.12057356492762,16.88481543666297,296.72312575555435,11.924960460574956
1980-02-10 15:00:00,2.781049297701129,11.372557824065236,12.351967772724601,296.1983575461196,14.099328182688874
1980-03-15 09:00:00,2.719704176637672,11.77851139508841,12.549793706658097,311.4249728396586,17.458160524834597
1980-04-13 11:00:00,0.7124182052663841,8.568558946056378,10.0905817419402,304.697681998435,9.235682597021828
1980-05-08 11:00:00,2.046033639019254,7.42177687327867,8.68249690211801,291.4768382629542,14.321516521814212
1980-06-02 11:00:00,1.2814099193033026,8.316491247009866,9.81688976297647,299.52106745471383,16.41709836943957
1980-06-27 11:00:00,1.7302523720993201,8.764718215547996,9.070445185711986,304.54781827510914,19.751469219506994
1980-07-22 11:00:00,1.1294087490396008,5.855690346658194,8.684237434185418,328.3846488162392,41.38753858683152
1980-08-16 11:00:00,2.013170112134673,10.563898462577313,10.97957128197816,292.37702110592244,11.365485742684859
1980-09-10 11:00:00,1.5627978962474647,9.00955560659409,9.6602715150789,301.22543933176075,12.842551964457368
1980-10-06 15:00:00,1.5701833109018375,10.840331993549604,11.518176332003119,306.83326778411765,8.556068342939755
1980-11-09 09:00:00,1.3581754781991704,5.544506521886634,4.54911295756183,327.9945432421739,34.394921817017774
1980-12-12 12:00:00,1.3416014952340116,9.233627875153545,11.224787581044618,287.2572812793774,16.221070397171616
1981-01-14 15:00:00,3.2345407882621666,6.265755368781415,7.217678610568194,307.22295916256866,20.547919187843927
1981-02-17 09:00:00,2.456900234034498,10.979965386310312,14.5522087409755,312.21315040571824,16.021335534364052
1981-03-22 12:00:00,5.294574431387908,12.499668838150459,14.6913355262502,294.8588951906467,13.249162240809842
1981-04-18 17:00:00,1.4851006398478577,6.626505040748645,5.7747272514267465,330.9185713224455,35.744519559724786
1981-05-13 17:00:00,1.8002392180133808,7.558247106880713,7.425505283558654,303.06975018943945,19.182955150643195
1981-06-07 17:00:00,2.1056339570329996,10.570999522669478,11.68379841697969,296.59274187296126,12.391538720245142
1981-07-02 17:00:00,1.6628624449085823,7.904498799725847,10.000775730906922,308.4632930872603,9.715007654632284
1981-07-27 17:00:00,1.1220518411827112,7.444149426477219,8.785527416333176,297.4770958735963,17.37016863611731
1981-08-21 17:00:00,2.124027755768568,10.287292057033968,10.632207482561233,314.3138277070072,18.216049316772196
1981-09-15 17:00:00,1.372635999404205,9.528979803708534,9.893665903819961,293.1224569500018,11.708653857287505
1981-10-14 09:00:00,2.248941588525011,8.929260912490903,9.193550131481071,294.36701387398614,15.088123588464804
1981-11-16 12:00:00,1.028202972715913,9.593531331528258,12.077288207035659,300.6780678152616,15.598311070174121
1981-12-19 15:00:00,2.131840396611539,8.358186014431833,10.995039243824282,314.8968226553083,30.86397004207048
1982-01-22 09:00:00,2.9947652935718483,10.112771071345614,14.52863561683622,296.44019613581037,12.55833589734661
1982-02-24 12:00:00,2.1586471805156635,10.161556228508175,11.750532930756831,302.99853872234144,14.304948280677118
1982-03-29 15:00:00,1.3269656083470112,7.868112146641581,10.943210315623622,306.2955697160781,21.8423208587614
1982-04-24 11:00:00,2.9488077751091173,8.988434445490112,14.420057173855351,325.9131371609086,27.547823123609138
1982-05-19 11:00:00,0.9545369219799212,8.242518075448547,9.034729098023499,297.36041005211337,10.809186465182945
1982-06-13 11:00:00,2.84270433603351,7.574663973055903,8.877633193910766,298.32069350535363,17.319387165217123
1982-07-08 11:00:00,1.0344006943897046,6.889260010404206,9.56776250612405,308.2859855783507,34.34516586024423
1982-08-02 11:00:00,1.2516242718610193,7.344725832531038,8.601933377420728,304.69165164761466,21.279721916254278
1982-08-27 11:00:00,2.692035975205483,10.714782764786849,11.70391852455418,304.9940936838048,14.059156778339679
1982-09-21 11:00:00,1.7843097857948476,9.181471378522,10.874782025070692,299.1521902012225,14.24445260307368
1982-10-21 12:00:00,3.125442602099217,13.652335366001733,15.360115844020378,304.8505349666955,10.230943744534475
1982-11-23 15:00:00,2.9903318491607718,9.638567639447675,12.536934602869247,305.29557417967226,33.17762342588866
